CLIENT CODE,UNIT,Alameda,BODEGA,FRENTE,FONDO,TAMANO,NIVEL,TIPO,DESCRIPCION,RR M2,min,branch_name
1005530398,E036,4.935105775955609,E036,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,422.59,2.6908308653958577,Lindavista
1005565304,E008,2.3672815276692787,E008,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,A,499.1,1.84278592541518,Roma
1005587742,E071,0.3017899369105764,E071,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,417.1,3.303453065513477,Anzures Polanco
1005607861,G008,2.6177574590075894,G008,0.9,0.6,0.5,PLANTA BAJA,LOCKER ARRIBA,A,344.0,1.812181137393392,Circuito
1005622151,G022,3.4699890194754586,G022,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,470.29,1.020369329583504,Mexico Tacuba
1005631178,E072,6.978036913477386,E072,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,401.77,2.0648140051046524,Tepeyac
1005634546,E075,585.1329794466352,E075,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,C,426.12,406.15278847145737,Queretaro
1005634886,E040,5.456612893921344,E040,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,B,411.0,1.59459596876849,Periferico
1005665067,E001,7.129385795218164,E001,3.0,3.0,9.0,PLANTA BAJA,Down/In,A,479.99,2.1829737615483595,Tepeyac
1005668155,F077,16.524681086915418,F077,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,347.23,1.8390088207059745,Cuajimalpa
1005690934,G012,0.6567439325998117,G012,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,415.65,2.926064987158995,Roma
1005739131,G013,1.1013435560925822,G013,0.9,0.9,0.8,PLANTA BAJA,LOCKER ABAJO,A,507.0,3.6273473841810353,Roma
1005851773,E090,50.27101897504458,E090,1.8,1.4,2.5,PLANTA BAJA,Bodega Abajo,C,360.12,36.64609100355242,Iman
1005871772,F009,11.442962561809018,F009,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,358.05,6.792082340540118,Tepeyac
1005943276,F086,17.117487727356732,F086,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,354.75,12.181363099618354,Tepeyac
1005961760,E063,5.046452985729947,E063,2.0,1.0,2.0,PLANTA BAJA,Bodega Abajo,B,439.68,0.8449967256869083,Viaducto
1005972752,E050,,E050,1.3,1.9,2.5,PLANTA BAJA,Bodega Abajo,B,440.75,,Tepeyac
1005988189,F004,4.0842283685473735,F004,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,377.58,3.419200645848248,Viaducto
1006089176,G016,5.13172434929352,G016,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,478.38,3.7156484170915673,Viaducto
1006147518,F032,2.2346740124229734,F032,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,B,256.39,1.3029933644461211,Roma
1006185273,G001,39.33666277933085,G001,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,359.14,29.64297224342755,Gustavo Baz
1006192050,E046,3.353219068957877,E046,1.3,1.5,2.0,PLANTA BAJA,Bodega Abajo,B,439.68,0.9124894151562442,Anzures Polanco
1006195228,F049,20.897931650670383,F049,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,349.37,7.797008569880935,Gustavo Baz
1006195716,E028,12.381107234809946,E028,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,439.1,2.325234489281113,Universidad
1006302680,F080,3.908479863296757,F080,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,341.77,2.1380259969996054,Tepeyac
1006307317,F074,16.746814903229495,F074,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,8.233393451605409,Churubusco
1006361018,F030,15.710563237031392,F030,1.5,1.5,2.3,PLANTA BAJA,Bodega Arriba,B,360.26,4.64461171949725,Cuajimalpa
1006372413,G024,212.7220269681129,G024,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,482.82,91.63948974871498,Acapulco
1006375263,G003,1010.396384319766,G003,0.9,0.9,0.8,PLANTA BAJA,LOCKER ARRIBA,A,341.18,931.5630321486716,Puebla
1006405433,F082,3.199070680518278,F082,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,324.69,1.6030513686917052,Roma
1006407056,E062,13.565300223701133,E062,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,439.43,6.3535050587208906,Churubusco
1006411027,F052,1.8303721142321008,F052,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,352.63,3.654391903582064,Tepeyac
1006411664,E026,59.96423711540408,E026,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,401.0,45.70994847630924,Iman
1006415270,F010,3.4212432761069724,F010,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,324.69,0.0800616469330383,Circuito
1006422097,E056,1.43238621559713,E056,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,433.0,2.002005531210485,Circuito
1006439531,F011,0.9044578043282002,F011,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,A,299.95,2.936724105521878,Roma
1006458602,F042,7.937492189754236,F042,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,334.99,2.2200450917892205,Churubusco
1006564872,F021,15.420847073743936,F021,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,295.0,2.176010720322861,Iman
1006581484,E054,1.1686198966106904,E054,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,407.0,2.933365194020836,Circuito
1006583403,E012,14.30517319770956,E012,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,310.1,1.3557726644411652,Tlalpan Coapa
1006585589,E030,7.790446761043461,E030,2.0,1.6,3.2,PLANTA BAJA,Bodega Abajo,B,448.0,2.87257148449215,Tepeyac
1006585589,E094,7.790446761043461,E094,1.1,1.9,2.1,PLANTA BAJA,Down/In,C,337.0,2.87257148449215,Tepeyac
1006596083,E073,2.006300993011396,E073,1.5,1.0,1.5,PLANTA BAJA,Bodega Abajo,C,414.0,1.7129550673188414,Anzures Polanco
1006626365,E059,4.81440092117352,E059,2.8,1.5,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,0.4714133579587036,Mexico Tacuba
1006630671,F057,53.83949460666378,F057,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,39.61209398926289,Iman
1006630671,F058,53.83949460666378,F058,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,39.61209398926289,Iman
1006640730,F048,5.898843051924035,F048,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,292.0,3.035913243064836,Tepeyac
1006640730,F047,5.898843051924035,F047,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,3.035913243064836,Tepeyac
1006671871,E025,11.369181680748005,E025,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,2.163490652935192,Tlalpan Coapa
1006671871,E043,11.369181680748005,E043,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,433.0,2.163490652935192,Tlalpan Coapa
1006674849,E052,8.666596726770218,E052,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,387.0,4.400574719753877,Lindavista
1006675389,F055,12.27136814388632,F055,2.0,2.0,4.0,PLANTA BAJA,Locker Arriba,B,260.0,1.0072541042177647,Tlalpan Coapa
1006702701,F020,32.43646202623456,F020,2.0,1.6,3.2,PLANTA BAJA,LOCKER ARRIBA,B,297.0,18.887165866736204,Gustavo Baz
1006713234,E023,12.174903008208704,E023,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,429.0,2.179640800282441,Iman
1006748337,G018,1.4040633034473051,G018,0.9,0.6,0.5,PLANTA BAJA,LOCKER ABAJO,A,490.0,3.879802961150836,Tepeyac
1006749560,F031,0.1887255517372719,F031,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,B,252.0,2.874392255045867,Anzures Polanco
1006767236,F008,2.723846673768864,F008,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,B,300.0,1.2039461716006246,Anzures Polanco
1006796945,F026,12.29075413716413,F026,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,3.9856101651228135,Churubusco
1006852849,E039,8.150419433993694,E039,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,383.0,2.10059786826932,Del Valle
1006861313,F051,1.1013435560925822,F051,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,3.6273473841810353,Roma
1006861546,F045,22.814666851843004,F045,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,312.0,9.021046915746892,Gustavo Baz
1006862130,E080,4.110009823624351,E080,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,C,410.0,0.8820968433724559,Viaducto
1006862130,E009,4.110009823624351,E009,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,444.0,0.8820968433724559,Viaducto
1006862130,E081,4.110009823624351,E081,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,C,410.0,0.8820968433724559,Viaducto
1006914676,F053,19.16203557283214,F053,1.5,2.1,3.2,PLANTA BAJA,Bodega Arriba,B,315.0,5.010957196733432,Paseo Interlomas
1006914846,F014,8.284487985637771,F014,1.5,2.1,3.2,PLANTA BAJA,LOCKER ARRIBA,A,312.0,4.551646031201248,Viaducto
1006928115,E083,18.41693476001248,E083,1.4,1.5,2.1,PLANTA BAJA,Bodega Abajo,C,414.0,7.806097248187472,Universidad
1006984778,F062,9.638766385239231,F062,1.5,2.8,4.2,PLANTA BAJA,Bodega Arriba,B,269.0,1.880499038187784,San Antonio
1007002194,F001,1.6352184648667265,F001,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,315.0,1.9561878381061144,Circuito
1007051221,F006,11.765761968519229,F006,1.5,1.0,1.5,PLANTA BAJA,LOCKER ARRIBA,A,315.0,6.817864249431704,Tepeyac
1007089280,F067,13.94659320694519,F067,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,329.0,5.859037678836037,Churubusco
1007110991,E018,10.373373618299466,E018,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,448.0,3.170569352367802,Lindavista
1007127837,F065,57.58392594327724,F065,1.5,1.0,1.5,PLANTA BAJA,Bodega Arriba,B,329.0,43.33200911942336,Iman
1007146951,E045,11.684257798561903,E045,1.5,2.1,3.2,PLANTA BAJA,Bodega Abajo,B,448.0,4.596138615290042,Lindavista
1007201656,E010,2.650179180471793,E010,1.5,2.8,4.2,PLANTA BAJA,Bodega Abajo,B,444.0,2.040460138344913,Roma
1007214983,F079,1249.064602218072,F079,1.5,1.5,2.3,PLANTA BAJA,LOCKER ARRIBA,B,310.0,1071.6375792135616,Queretaro
